,year,事故件数,負傷者数,死者数
0,1948,21341,17609,3848
1,1949,25113,20242,3790
2,1950,33212,25450,4202
3,1951,41423,31274,4429
4,1952,58487,43321,4696
5,1953,80019,59280,5544
6,1954,93869,72390,6374
7,1955,93981,76501,6379
8,1956,122691,102072,6751
9,1957,146833,124530,7575
10,1958,168799,145432,8248
11,1959,201292,175951,10079
12,1960,449917,289156,12055
13,1961,493693,308697,12865
14,1962,479825,313813,11445
15,1963,531966,359089,12301
16,1964,557183,401117,13318
17,1965,567286,425666,12484
18,1966,425944,517775,13904
19,1967,521481,655377,13618
20,1968,635056,828071,14256
21,1969,720880,967000,16257
22,1970,718080,981096,16765
23,1971,700290,949689,16278
24,1972,659283,889198,15918
25,1973,586713,789948,14574
26,1974,490452,651420,11432
27,1975,472938,622467,10792
28,1976,471041,613957,9734
29,1977,460649,593211,8945
30,1978,464037,594116,8783
31,1979,471573,596282,8466
32,1980,476677,598719,8760
33,1981,485578,607346,8719
34,1982,502261,626192,9073
35,1983,526362,654822,9520
36,1984,518642,644321,9262
37,1985,552788,681346,9261
38,1986,579190,712330,9317
39,1987,590723,722179,9347
40,1988,614481,752845,10344
41,1989,661363,814832,11086
42,1990,643097,790295,11227
43,1991,662392,810245,11109
44,1992,695346,844003,11452
45,1993,724678,878633,10945
46,1994,729461,881723,10653
47,1995,761794,922677,10684
48,1996,771085,942204,9943
49,1997,780401,958925,9642
50,1998,803882,990676,9214
51,1999,850371,1050399,9012
52,2000,931950,1155707,9073
53,2001,947253,1181039,8757
54,2002,936950,1168029,8396
55,2003,948281,1181681,7768
56,2004,952720,1183617,7436
57,2005,934346,1157113,6937
58,2006,887267,1098564,6415
59,2007,832704,1034652,5796
60,2008,766394,945703,5209
61,2009,737637,911215,4979
62,2010,725924,896297,4948
63,2011,692084,854613,4691
64,2012,665157,825392,4438
65,2013,629033,781492,4388
66,2014,573842,711374,4113
67,2015,536899,666023,4117
68,2016,499201,618853,3904
69,2017,472165,580850,3694
70,2018,430345,524695,3532
