,年度,合計,トラック,バス,乗用車,特種用途車,小型二輪車,軽自動車
0,1957,3403768,1321601,57770,440417,74252,50018,1459710
1,1962,8123096,2870249,105386,1877912,163608,48002,3057939
2,1967,18919020,5460393,190066,6776949,351661,171533,5968418
3,1972,29143445,7381024,219945,14822093,595798,257208,5867377
4,1977,38992023,8682978,229429,21543500,794025,444975,7297116
5,1982,48240555,8306018,230783,25847578,943801,850615,12061760
6,1990,60498850,8834541,245844,32436497,1213569,999854,16768545
7,1991,62713454,8920738,247968,33950579,1271636,1022602,17299931
8,1992,64498279,8920467,248412,35234467,1319277,1070002,17705654
9,1993,66278836,8878919,247119,36508842,1367742,1127817,18148397
10,1994,68103696,8878952,244611,37754521,1429984,1177229,18618399
11,1995,70106536,8857830,242907,39102708,1524405,1209013,19169673
12,1996,71775647,8818906,241844,40476568,1429599,1224775,19583955
13,1997,72856583,8693209,239866,41282993,1521329,1243277,19875909
14,1998,73688389,8476295,237146,41782876,1625112,1269232,20297728
15,1999,74582612,8266134,235725,42055705,1706840,1288399,21029809
16,2000,75524973,8106286,235550,42365069,1754311,1308417,21755340
17,2001,76270813,7906873,234244,42527732,1754373,1334354,22513237
18,2002,76892517,7665942,233180,42654929,1720138,1352199,23266129
19,2003,77390245,7414335,231984,42624206,1673959,1370331,24075430
20,2004,78278880,7280175,232000,42776178,1643010,1397392,24950125
21,2005,78992060,7159696,231696,42747280,1618698,1428149,25806541
22,2006,79236095,7014258,231758,42229409,1599628,1452893,26708149
23,2007,79080762,6884294,230981,41468989,1578059,1478724,27439715
24,2008,78800542,6567502,229804,40799245,1527899,1505304,28170788
25,2009,78693495,6362434,228295,40418920,1511980,1524176,28647690
26,2010,78660773,6214847,226839,40135132,1646018,1535181,28902756
27,2011,79112584,6135913,226270,40143441,1645449,1542856,29418655
28,2012,79625203,6068138,226047,40009350,1654739,1566341,30100588
29,2013,80272571,6041085,226542,39821043,1669679,1595335,30918887
30,2014,80670393,6029156,227579,39491117,1683313,1611089,31628139
31,2015,80900730,6018831,230603,39354645,1700014,1628461,31968176
32,2016,81260206,6030536,232793,39491965,1720030,1641580,32143302
33,2017,81563101,6037532,233542,39533782,1737221,1657613,32363411
34,2018,81789318,6063340,232992,39445680,1751502,1680416,32615388
