,Time,Country,value
0,1990,Japan,99.99999999999999
1,1991,Japan,101.3563382086053
2,1992,Japan,101.07534890076467
3,1993,Japan,100.1727270916971
4,1994,Japan,101.05365581811729
5,1995,Japan,103.46786558689163
6,1996,Japan,106.56913971155622
7,1997,Japan,106.94652930638766
8,1998,Japan,106.96462221464894
9,1999,Japan,108.14482201094026
10,2000,Japan,111.96571983753697
11,2001,Japan,112.8334192378928
12,2002,Japan,114.30067437290447
13,2003,Japan,115.9864010464698
14,2004,Japan,117.87067996703998
15,2005,Japan,118.87777615937267
16,2006,Japan,119.72905484401909
17,2007,Japan,120.75256218984501
18,2008,Japan,119.6137201737445
19,2009,Japan,114.47776900683498
20,2010,Japan,119.52770206295489
21,2011,Japan,119.46087771056254
22,2012,Japan,121.76407971187702
23,2013,Japan,123.49483725191755
24,2014,Japan,123.233786360058
25,2015,Japan,124.20208983668617
26,2016,Japan,123.77727284495316
27,2017,Japan,124.95160502635022
28,2018,Japan,123.4225719985273
29,1990,Switzerland,100.0
30,1991,Switzerland,97.30699398704301
31,1992,Switzerland,98.70746818204535
32,1993,Switzerland,99.39746183902858
33,1994,Switzerland,101.36382692928763
34,1995,Switzerland,101.92522271680366
35,1996,Switzerland,102.76240334935393
36,1997,Switzerland,105.32071876234652
37,1998,Switzerland,107.0487331264101
38,1999,Switzerland,107.98380283173132
39,2000,Switzerland,111.14925555024729
40,2001,Switzerland,110.76533580027333
41,2002,Switzerland,110.15832644806954
42,2003,Switzerland,110.59650079719103
43,2004,Switzerland,113.35344281186772
44,2005,Switzerland,116.035844245031
45,2006,Switzerland,118.09210909845322
46,2007,Switzerland,119.85339969638231
47,2008,Switzerland,119.5736566692194
48,2009,Switzerland,116.37109390055257
49,2010,Switzerland,119.58254165206415
50,2011,Switzerland,118.58473177043973
51,2012,Switzerland,117.7192650834871
52,2013,Switzerland,118.40411429952846
53,2014,Switzerland,119.07120431230909
54,2015,Switzerland,118.86205564278504
55,2016,Switzerland,119.11000645542434
56,2017,Switzerland,119.93532091236648
57,2018,Switzerland,121.85953076504235
58,1990,South Africa,100.0
59,1991,South Africa,95.20578169718955
60,1992,South Africa,91.74153148704535
61,1993,South Africa,91.44740761770484
62,1994,South Africa,92.95585791035907
63,1995,South Africa,94.3807033089677
64,1996,South Africa,96.9331582683723
65,1997,South Africa,97.97037492991034
66,1998,South Africa,96.96484330042813
67,1999,South Africa,97.7439085551454
68,2000,South Africa,100.41184657967293
69,2001,South Africa,106.71826923492617
70,2002,South Africa,111.66271260353365
71,2003,South Africa,116.44091315822384
72,2004,South Africa,119.40509446506283
73,2005,South Africa,118.5685876188473
74,2006,South Africa,119.14802898558804
75,2007,South Africa,125.08325762752679
76,2008,South Africa,119.18406540142611
77,2009,South Africa,120.58388714562088
78,2010,South Africa,127.9066367504981
79,2011,South Africa,129.4588387873192
80,2012,South Africa,129.06916610219332
81,2013,South Africa,128.35501090749423
82,2014,South Africa,128.30326371946407
83,2015,South Africa,124.93180977428237
84,2016,South Africa,125.11478789255216
85,2017,South Africa,123.83796500745576
86,2018,South Africa,123.10063440924385
